# Temperate and Subtropical and Wilderness...
,Nomad,61-90,61-80,--,51-60,76-95,66-80,--,--
,Pilgrim,91-95,81-85,41-45,61-80,96-00,81-90,51-65,36-40
,Tribesman,96-00,86-00,46-00,81-00,--,91-00,66-00,41-00
,,,,,,,,,
,Snake Table,Plain,Scrub,Forest,Rough,Desert,Hill,Mountain,Marsh
,Amphisbaena,1-10,1-5,--,--,1-15,1-5,--,--
,Constrictor,--,6-10,1-65,1-5,--,6-10,--,1-70
,Poisonous,11-80,11-80,66-95,6-95,16-90,11-90,1-90,71-00
,Spitting,81-00,81-00,96-00,96-00,91-00,91-00,91-00,--
,,,,,,,,,
,Sphynx Table,Plain,Scrub,Forest,Rough,Desert,Hill,Mountain,Marsh
,Andro-,,,1-5,1-10,1-40,1-10,1-15,1-5
,Crio-,,,6-75,11-30,41-50,11-70,16-35,6-55
,Gyno-,,,76-80,31-50,51-90,71-80,36-55,56-65
,Hieraco-,,,81-00,51-00,91-00,81-00,56-00,66-00
,,,,,,,,,
,Spider Table,Plain,Scrub,Forest,Rough,Desert,Hill,Mountain,Marsh
,Giant,--,--,1-55,--,--,--,,
,Huge,1-15,1-25,56-75,1-20,--,1-20,,
,Large,16-00,26-00,76-80,21-00,1-100,21-00,,
,Phase,--,--,81-00,--,--,--,,
,,,,,,,,,
,Undead Table,Plain,Scrub,Forest,Rough,Desert,Hill,Mountain,Marsh
,Ghast,,,1-10,1-15,,1-10,1-10,1-15
,Ghost,,,11-12,16-20,,11-12,11-13,16-18
,Ghoul,,,13-55,21-55,,13-35,14-30,19-75
,Lich,,,56,56-60,,36-40,31-35,--
,Mummy,,,--,61-70,,41-55,36-40,--
,Shadow,,,57-70,71-84,,46-61,41-50,76-81
,Spectre,,,71-79,85-87,,62-64,51-60,82-91
,Vampire,,,80-89,88-89,,65-74,61-75,92-93
,Wight,,,90-96,90-98,,75-97,76-94,--
,Wraith,,,97-00,99-00,,98-00,95-00,94-00
